QTD;ATIVO;DESCRICAO;VALOR;
655;ABEV3;155 ACOES ABEV3 AMBEV S/A ON EJ;12043.19;
150;ALPA4;150 ACOES ALPA4 ALPARGATAS PN N1;1200;
50;BBAS3;50 ACOES BBAS3 BRASIL ON NM;1080;
700;BRFS3;70 ACOES BRFS3 BRF SA ON NM;14893;
149;BRML3;149 ACOES BRML3 BR MALLS PAR ON NM;1560;
400;BVMF3;400 ACOES BVMF3 BMFBOVESPA ON EJ NM (200 BMFBOVESPA ON NM + 200 B3 S.A. - BR ON NM);8372;
0;CESP6;50 ACOES CESP6 CESP PNB N1;0;
0;CIEL3;36 ACOES CIEL3 CIELO ON NM;0;
550;CYRE3;150 ACOES CYRE3 CYRELA REALT ON NM;6815.5;
0;DTEX3;63 ACOES DTEX3 DURATEX ON NM;0;
0;GGBR4;300 ACOES GGBR4 GERDAU PN N1;0;
220;ITSA4;220 ACOES ITSA4 ITAUSA PN EJ N1;1628;
308;ITUB4;33 ACOES ITUB4 ITAUUNIBANCO PN N1;13719.5;
0;LAME3;300 ACOES LAME3 LOJAS AMERIC ON N1;0;
0;LAME4;100 ACOES LAME4 LOJAS AMERIC PN N1;0;
215;LREN3;215 ACOES LREN3 LOJAS RENNER ON EJ NM;5058;
47;MGLU3;480 ACOES MGLU3 MAGAZ LUIZA ON EJ NM;7465.9;
-40;MULT3;20 ACOES MULT3 MULTIPLAN ON N2;-2201.8999999999996;
1300;PETR4;100 ACOES PETR4 PETROBRAS PN;25786;
293;RENT3;93 ACOES RENT3 LOCALIZA ON NM;6441.96;
100;SUZB3;100 ACOES SUZB3 SUZANO PAPEL PNA N1;1102;
293;VALE3;193 ACOES VALE3 VALE ON EJ NM;8856;
20;VIVT4;20 ACOES VIVT4 TELEF BRASIL PN;856.8;
500;ALPA3;100 ACOES ALPA3 ALPARGATAS ON N1;7634;
0;AMAR3;200 ACOES AMAR3 LOJAS MARISA ON NM;0;
100;BBDC3;100 ACOES BBDC3 BRADESCO ON EJ N1;2978;
0;CCRO3;200 ACOES CCRO3 CCR SA ON NM;0;
0;MRFG3;400 ACOES MRFG3 MAFRIG;0;
600;PETR3;300 ACOES PETR3 PETROBRAS ON;10101;
-100;BRAP3;BRADESPAR S. ON N1;-2732;
0;GUAR3;GUARARAPES C ON;0;
0;VULC3;VULCABRAS/AZ ON NM;0;
300;GOLL4;GOL LINHAS A PN N2;5289;
100;FIBR3;FIBRIA CELUL ON NM;5684;
1900;FJTA3;FORJAS TAURU ON N2;13281;
0;VVAR11;VIA VAREJO S UNT N2;0;
0;ELET3;ELETROBRAS ON N1;0;
5600;STBP3;SANTOS BRP ON NM;18428;
600;EMBR3;EMBRAER ON NM;12906;
300;EGIE3;ENGIE BRASIL ON NM;12248;
600;CPLE3;COPEL ON N1;16230;
200;NATU3;NATURA ON NM;7228;
5600;JHSF3;JHSF PART ON NM;10080;
140;BTOW3;B2W DIGITAL ON NM;5344;
1000;LOGN3;LOG-IN ON NM;8064;
